X : 18, Y : 10, G : 2351, H : 1400, F : 3751
X : 15, Y : 3, G : 1364, H : 2400, F : 3764
X : 16, Y : 2, G : 1364, H : 2400, F : 3764
X : 27, Y : 6, G : 2874, H : 900, F : 3774
X : 19, Y : 15, G : 2974, H : 800, F : 3774
X : 19, Y : 13, G : 2774, H : 1000, F : 3774
X : 19, Y : 14, G : 2874, H : 900, F : 3774
X : 19, Y : 12, G : 2674, H : 1100, F : 3774
X : 16, Y : 6, G : 1787, H : 2000, F : 3787
X : 16, Y : 5, G : 1687, H : 2100, F : 3787
X : 18, Y : 3, G : 1687, H : 2100, F : 3787
X : 19, Y : 3, G : 1787, H : 2000, F : 3787
X : 17, Y : 9, G : 2210, H : 1600, F : 3810
X : 18, Y : 9, G : 2310, H : 1500, F : 3810
X : 22, Y : 4, G : 2210, H : 1600, F : 3810
X : 22, Y : 5, G : 2310, H : 1500, F : 3810
X : 15, Y : 1, G : 1223, H : 2600, F : 3823
X : 14, Y : 2, G : 1223, H : 2600, F : 3823
X : 28, Y : 7, G : 2933, H : 900, F : 3833
X : 18, Y : 12, G : 2633, H : 1200, F : 3833
X : 20, Y : 16, G : 3033, H : 800, F : 3833
X : 24, Y : 7, G : 2733, H : 1100, F : 3833
X : 25, Y : 5, G : 2633, H : 1200, F : 3833
X : 24, Y : 5, G : 2533, H : 1300, F : 3833
X : 26, Y : 6, G : 2833, H : 1000, F : 3833
X : 17, Y : 2, G : 1546, H : 2300, F : 3846
X : 15, Y : 5, G : 1646, H : 2200, F : 3846
X : 18, Y : 2, G : 1646, H : 2200, F : 3846
X : 15, Y : 4, G : 1546, H : 2300, F : 3846
X : 17, Y : 8, G : 2169, H : 1700, F : 3869
X : 21, Y : 4, G : 2169, H : 1700, F : 3869
X : 21, Y : 3, G : 2069, H : 1800, F : 3869
X : 16, Y : 8, G : 2069, H : 1800, F : 3869
X : 14, Y : 0, G : 1082, H : 2800, F : 3882
X : 29, Y : 8, G : 2992, H : 900, F : 3892
X : 24, Y : 4, G : 2492, H : 1400, F : 3892
X : 17, Y : 11, G : 2492, H : 1400, F : 3892
X : 18, Y : 11, G : 2592, H : 1300, F : 3892
X : 16, Y : 1, G : 1405, H : 2500, F : 3905
X : 3, Y : 9, G : 905, H : 3000, F : 3905
X : 2, Y : 9, G : 805, H : 3100, F : 3905
X : 14, Y : 4, G : 1505, H : 2400, F : 3905
X : 14, Y : 3, G : 1405, H : 2500, F : 3905
X : 17, Y : 1, G : 1505, H : 2400, F : 3905
X : 4, Y : 12, G : 1328, H : 2600, F : 3928
X : 3, Y : 12, G : 1228, H : 2700, F : 3928
X : 16, Y : 7, G : 2028, H : 1900, F : 3928
X : 20, Y : 3, G : 2028, H : 1900, F : 3928
X : 15, Y : 7, G : 1928, H : 2000, F : 3928
X : 19, Y : 2, G : 1828, H : 2100, F : 3928
X : 20, Y : 2, G : 1928, H : 2000, F : 3928
X : 6, Y : 0, G : 341, H : 3600, F : 3941
X : 23, Y : 3, G : 2351, H : 1600, F : 3951
X : 16, Y : 10, G : 2351, H : 1600, F : 3951
